label_2	label_1
【其他】如何删除行程	行程
【手添】如何手添误删行程	行程
【手添】手添成功的行程不显示	行程
【手添】提示行程已存在	行程
【数据】已使用行程仍然显示未使用	行程
【提取】Pro版历史行程未提全	行程
【提取】出现了非本人购票的航班	行程
【提取】行程缺失-如何手添	行程
【提取】认证后未提取出行程	行程
【提取】手添新版-廉航如何添加	行程
【隐私规则】查看某航班是否购买成功	行程
【隐私规则】查询他人行程	行程
【隐私规则】行程提取时间	行程
不显示未来行程	行程
行程日期错误	行程
行程提取未成功	行程
行程添加撤销	行程
行程无法添加	行程
行程验真	行程
如何查看行程	行程
如何导出行程	行程
行程补录	行程
行程没有短信提醒	行程
未显示国际行程	行程
机场如何自助值机	行程
手动添加行程显示作废	行程
【其他】无法添加到日历	行程
【手添】催促审核进度	行程
如何更新热力图	行程
如何查看热力图	行程
如何查看航线图	行程
如何查看飞行计划	行程
热力图显示错误	行程
热力图未显示相关行程	行程
飞行统计在哪	行程
飞行足迹在哪	行程
查询飞行记录	行程
注册前的行程能否显示	行程
航线图未显示行程	行程
改签后未更新	行程
是否可以显示护照出行的行程	行程
同航班显示不同航班	行程
非本人操作被退改签	行程
关于南航选座	值机
值机-如何为同行人办理值机	值机
值机-同行人添加数量限制	值机
值机详情-未开放选座、什么时间开放选座	值机
值机详情-座位被预留	值机
值机-值机选座失败	值机
值机-部分国际航班或廉价或入疆入藏的航空不支持	值机
值机后无座位号	值机
值机记录-变更或取消他人的座位	值机
值机记录-查看自己、他人、同行人的座位	值机
选座不能点击确认	值机
手机值机---为自己值机索引	值机
他人值机-2天内无可办理的行程	值机
他人值机-部分航司儿童不支持办理	值机
什么是值机	值机
如何为他人值机	值机
不认证如何选座	值机
不是13位客票号	值机
座位标志说明	值机
登机流程	值机
儿童独自乘机	值机
航班取消-本人无法取消	值机
航班保护中	值机
航司是否支持手机值机	值机
具体开放哪些座位	值机
添加同行人按钮是灰色的	值机
票验失败不能选座	值机
取消值机-非本人操作被取消值机	值机
取消值机后果	值机
取消值机后是否可以重新值机	值机
取消值机-如何取消值机	值机
取消值机-如何为自己变更座位	值机
取消座位后还显示值机	值机
值机名字不正确	值机
同行人取消选座后不能重新选座	值机
同行人舱位等级不同	值机
手机值机截止时间	值机
手机值机是否还需取票	值机
无值机信息	值机
无法取消值机	值机
选座机型错误	值机
何时显示登机信息	值机
询问机翼、靠窗位置	值机
要先开通手机值机才能选座位吗	值机
如何选头等舱座位	值机
商务舱座位分布	值机
如何修改同行人信息	值机
如何成为vip选座	值机
如何添加同行人	值机
如何添加好友	值机
常用联系人的页面在哪里	值机
如何修改常用联系人	值机
值机详情-如何删除常用联系人	值机
如何添加常用联系人	值机
无法为别人预约选座	值机
查看别人的预约选座	值机
如何取消预约选座	值机
如何为同行人预约座位	值机
如何修改预约选座	值机
如何预约选座	值机
预约与值机的区别	值机
预约值机-关于预约选座是否靠谱的疑问	值机
预约值机-支持哪些行程	值机
预约选座-提示不能重复预约	值机
预约选座失败	值机
无法添加同行人	值机
经济舱座位分布	值机
取消值机-非本人操作被变更座位	值机
非本人行程无法值机	值机
取消值机后是否可去机场值机	值机
打印登机牌后如何取消值机	值机
查询预约座位	值机
如何删除值机记录	值机
取消值机后未更新	值机
查看自己的预约座位	值机
付费预选座位	值机
旅豆兑换按钮为灰色	旅豆
旅豆可以转赠吗	旅豆
旅豆少了	旅豆
旅豆中心---旅豆如何获取	旅豆
旅豆中心---旅豆无法兑换	旅豆
猜一猜尚未结算---没有结算	旅豆
兑换中心---查找兑换口令	旅豆
旅豆的作用	旅豆
航班动态---登机口、值机柜台、行李转盘信息不准	航班动态
航班动态-航班动态状态不准	航班动态
航班动态-如何为亲友订阅航班动态	航班动态
航班动态-预警状态的含义	航班动态
航班动态咨询---其他	航班动态
航班动态-咨询是否可晚到机场	航班动态
航班详情-拥挤度的意思	航班动态
认证-催促审核进度	认证
认证-取消认证	认证
认证-如何认证	认证
认证-为何提示重复认证	认证
认证无法拍照	认证
认证需要多久	认证
认证-支付宝无法认证	认证
认证-重复认证失败	认证
认证-重复无法认证	认证
认证-注销账号	认证
证件&姓名-可添加类型及数量	认证
证件&姓名-添加他人证件	认证
证件-删除已添加证件	认证
证件-无法添加新证件	认证
证件---修改证件	认证
姓名-认证非本人	认证
修改英文名	认证
修改中文名	认证
如何添加购票证件	认证
取消注销账户	认证
儿童名字后面有英文字母	认证
