label	content
如何修改同行人信息	更换乘机人
退票、改签	我换航班座位
机票---预订机票	app如何买票？
老人乘机	老人乘机需要什么条件
值机-值机选座失败	我用手机值机提示不能为非本人值机，但我是给我自己值机
通用---咨询客服电话	人工服务
值机详情-未开放选座、什么时间开放选座	什么时候手机值机
证件-删除已添加证件	旧护照没有提取的行程。护照号：G40990668，姓名：吕颖，删除原因：已过期并已更换新护照。
值机-值机选座失败	无法办理值机
接送机---如何申请接送机发票	我通过航旅纵横下单的接机服务，发票如何开？
通用---咨询客服电话	人工服务
如何办理升舱	如何进行里程升舱？
他人值机-部分航司儿童不支持办理	请问如何在大人那里添加小孩的选位的
如何为他人值机	可以替别人选座位吗
机票---预订机票	航旅纵横可以订票吗？
手机值机---为自己值机索引	手动添加的行程可以值机吗
通用---咨询客服电话	人工服务
账户信息-如何修改手机号	改手机号
临时乘机证明办理	没带身份证
行程-索要发票、行程单等	我需要行程单
手机值机---为自己值机索引	如何选座
接送机---如何申请接送机发票	接机怎么开发票
行程-索要发票、行程单等	你好！我现在还能打3月份的行程单吗？
机票---预订机票	怎么样买机票
获取延误证明	延误证明
值机详情-未开放选座、什么时间开放选座	选座位什么时候开放
结束语	哦
查询飞行记录	国际飞行记录
通用---咨询客服电话	有客服电话马
如何为他人值机	她和主乘人不同行程，可以值机吗
认证-如何认证	添加护照
非本人行程无法值机	你好，请问我手机值机时为什么要我输入本人信息?信息输入完后又说我是非本人行程?
取消值机-如何取消值机	帮我取消值机
打招呼	你好
打招呼	你好
姓名-认证非本人	身份信息已被使用
值机-如何为同行人办理值机	怎么帮同行人选座
兑换中心---查找兑换口令	我2011兑换了提取码，没记下兑换码，我现在找不到了
无法取消值机	无法取消值机
预约选座失败	国际航班不能提前选位吗？
通用---咨询客服电话	人工服务
如何查看行程	查看一下我最近的订单
取消值机-如何取消值机	请人工帮我取消值机
行李托运限额	行李托运另付钱吗
临时乘机证明办理	哪里办临时身份证
值机记录-查看自己、他人、同行人的座位	你好怎么看值机成功
打招呼	hi
手机值机---为自己值机索引	怎么选座
抱怨	曹尼玛
打招呼	在吗
如何查询机票订单	查询我预定的机票
值机-值机选座失败	值机选座怎么选不了
不显示未来行程	为什么未来行程这里找不到
非本人操作被退改签	为什么我没有退票结果航旅纵横显示我已退票了
航司是否支持手机值机	飞香港澳门可以选座位吗
订餐	FM9451昆明长水14点飞上海，机上有配餐吗？
值机-值机选座失败	为什么不能选座位呢
机票是否联程	如何确定是不是联程机票
通用---咨询客服电话	你们没有人工服务吗
手机值机是否还需取票	网上值机选座后，如果到达机场时已经停止办理值机，可以正常领取登机牌和托运行李吗
手机值机---为自己值机索引	座位怎么选
取消值机-如何取消值机	～有一张机票，张国柱的明天飞往长沙的11:40停飞了，要求取消选座
机票---票价、余票提醒	如何查看机票种类
乘机证件相关_成年人	可以用护照登机吗？
行李托运限额	我是想问我明天的行程有免费托运额吗？
关于南航选座	CZ3965航班是什么时候可以值机？
取消值机-如何取消值机	取消值机
值机-值机选座失败	无法值机
无法取消值机	怎么取消不了值机
如何为他人值机	帮他人值机
【提取】出现了非本人购票的航班	没有订票为什么出现无效票？
如何添加同行人	怎样帮同行的人添加到航旅纵横来
抱怨	你是智障吗
常用联系人的页面在哪里	常用联系人在哪里
【提取】手添新版-廉航如何添加	为什么春秋航空的没有记录
认证-催促审核进度	怎么还没有认证审核完成？
取消值机-如何取消值机	取消值机
未显示国际行程	我买了一张新加坡去印度尼西亚的机票没显示
打招呼	你好，
打招呼	你好
乘机证件相关_未成年人	持有身份证的幼儿如何办理值机
登机、过检时间	提前多久进场？
航司是否支持手机值机	大韩航空可以在线选座吗
是否可以开飞行模式	手机可以开飞行模式么
【隐私规则】行程提取时间	为什么一年前的航班不显示
值机-值机选座失败	办不了值机
登机、过检时间	A67140什么时间开始值机
登机、过检时间	提前多少时间去机场
无值机信息	请问今天的值机信息为什么一直没有收到
行程-索要发票、行程单等	如何获取报销纸质
航司电话	怎样联系航空公司呢
【提取】行程缺失-如何手添	现在是需要完成乘机后才会显示航线吗
登机、过检时间	过了值机时间还能办理托运吗
手机值机---为自己值机索引	如何选座
打招呼	你好
如何查询机票订单	我朋友给我买的机票，但是我这里差不了
打招呼	你好
登机、过检时间	最晚的登机时间是什么时候
行李托运限额	经济舱免费托运45公斤？
询问机翼、靠窗位置	请问波音738飞机什么位置是安全出口
查询航班行李限额	中国国际航空公司国际航班行李限额多少公斤啊
如何预约选座	怎么使用手机提前选座
值机详情-如何删除常用联系人	如何删除常用联系人
行程-索要发票、行程单等	机票发票
只能查国内机票吗	国际航班为什么看不到价格
行程-索要发票、行程单等	电子发票事项如何处理
行李超重	为什么我没免费行李？
行李托运限额	祥鹏公司没有免费托运行李吗？？
值机-值机选座失败	东航飞机无法添加通行人选座
行李托运限额	28寸行李箱可以托运吗？
手机值机---为自己值机索引	我想问一下，在这里选座后，去办理托运拿登机牌的时候座位和我选的是一样的吗
未显示国际行程	国际行程不显示
机票---预订机票	如何购买机票？
打招呼	你好
查询航班行李限额	vj605免费托运行李
登机流程	登机的流程
【提取】行程缺失-如何手添	你好，护照订的行程为什么没有自动导入呢？
值机详情-座位被预留	我未办理值机？为什么系统提示已值机？
登机流程	先安检还是先托运
行程-索要发票、行程单等	发票
打招呼	你好
如何兑换积分	兑换里程
手机值机是否还需取票	网上值机成功还需要再办理值机吗
打招呼	在吗
有氧舱问题	如何申请有氧仓位
打招呼	你好
行李托运限额	托运行李重量限额多少
退票、改签	如何退机票
值机-值机选座失败	我国际航班没显示，没法值机
取消值机-如何取消值机	取消选座
行李中转	中转机场是否需要取行李
【隐私规则】查询他人行程	无法看到常用联系人航班信息
打招呼	你好
非本人行程无法值机	为什么我的值机显示不是本人行程？
如何为他人值机	可以帮别人选座位吗？
通用---咨询客服电话	客服电话
常用联系人的页面在哪里	常用联系人在哪里
【其他】怎么获得乘机证明	不显示乘机凭证
值机-值机选座失败	为什么不能选座呀
通用---咨询客服电话	有电话吗
行李托运物品要求	托运可以带洗漱用品么
通用---咨询客服电话	人工客服
打招呼	你好
手机值机---为自己值机索引	手机选座位
打招呼	你好
手机值机---为自己值机索引	如何选座啊
通用---咨询客服电话	人工服务
他人值机-部分航司儿童不支持办理	婴儿怎么值机
行李超重	怎么样购买行李托运额
取消值机-如何取消值机	取消值机
如何查看行程	离线看航线
【提取】行程缺失-如何手添	我添加的行程为什么都没有通过
行程-索要发票、行程单等	报销
打招呼	在么
打招呼	你好
如何添加同行人	添加同行人
如何添加常用联系人	想添加孩子的信息 怎么添加啊
关于南航选座	cz6184为什么不能在手机上值机？
航班动态咨询---其他	6月16号东航MU5953次航班起飞了吗？
无法认证	为什么我的身份证认证不了
乘机证件相关_未成年人	儿童乘机证件
通用---咨询客服电话	人工服务
取消值机-如何取消值机	取消值机
通用---咨询客服电话	人工服务
行李托运限额	放行李箱托运可以吗
机票---预订机票	在航旅纵横可以买机票吗？
【提取】行程缺失-如何手添	没有任何凭证怎么添加行程
姓名-认证非本人	新手机号被注册
行李托运物品要求	笔记本电脑可以托运吗
值机-值机选座失败	为什么我这航班不能选座
取消值机-如何取消值机	怎么取消值机页面不显示
通用---咨询客服电话	人工客服
