label	text
84	预约值机为何只能添加两位其他乘客
3	始终取消不了
3	美兰机场
59	海航的行李限制是多少公斤？
14	100ml的水，乳，洗面奶可以随身携带吗？
3	我看到公务舱有空位，为什么升舱不成功
14	1斤蜂蜜能随身携带上飞机吗?
84	值机可以办理同行两人吗
27	商旅口令在哪里
3	充电宝
1	我现在要退票推不掉，是携程网订的，在航宇纵横上手机值机的
271	身份证有字母
3	小朋友如何查询
3	请问这是为什么
3	行李托运
28	怎么取消不了值机
74	你好，我是港澳通行证，认证里没有这一栏，只有港澳居民，我国内订票需要用通行证，现在只能选其它来认证，这个一直没通过，比较急
24	你好
3	我的姓是徐xu
226	飞机上有无线网么
57	免费行李额
12	如何帮别人值机
55	怎么咨询航空公司
3	mu715
71	乌龟如何办理托运
21	证件添加完了
5	怎么手机上我选不了座位
3	常用联系人
28	你好，我昨晚办理了值机，现在想取消值机重新选座位，怎么取消不了呢？显示我已打印行程单，但我实际没打印呢
30	怎么查询自己的返程机票
3	有没有人工
14	化妆品可以带上飞机吗
2	请问我的航旅纵横为什么定不了国际机票
57	两个人一起行李托运数可以合到一起吗
24	你好～
3	查了
82	机票掉了还能补办吗
28	取消值机操作不了
6	請回电！
3	是同班同位等级的
91	选座是显示信息保护
17	怎么打印行程单？
3	不能随身携带
46	如何进入常用联系人页面
145	加你们QQ为什么，还没有通过
23	怎么取消值机页面不显示
3	Open 票
3	选座
64	第一次坐飞机不知道相关流程
57	出入境行李要求
12	可以帮别人选座吗
71	白酒托运
2	怎么在航旅纵横上订票
13	请问如何进行手机送座，谢谢！
23	请帮我取消值机
21	我要认证
47	请问怎么添加亚航行程
2	已经买票了
3	贵阳派出所警务工作站电话
1	退票
69	怎么查询别人的信息
8	怎么删除旧证件
3	人工
3	怎么办
3	怎么升金卡
3	座位
3	None
72	常用联系人怎么添加
17	报销凭证可以报销么
3	如何加入孩子的信息
42	港澳通行证能买机票吗
57	我问下，我可以带两个行李箱吗
40	网上值机以后还需要打印登机牌嘛
13	如何办理值机，未找到
3	飞行模式
14	请问下国内航班可以带几条香烟
6	人工服务
69	我怎么用身份证查询机票
128	能改座位么
6	回答不正确。你们有客服电话吗？
14	坐飞机可以带充电宝吗？
6	人工客服
74	身份证认证不了，国内航班没显示，没提醒
3	爱心服务订单哪里查看
3	国际航班托运
84	出行的是两个人，怎么输入第二个人的信息，再进行选座啊？
200	怎么查签证到期时间
44	你好，我没有定机票呀？
3	水
71	火锅料可以托运吗
85	怎么注销
6	人工客服
24	有人吗？
3	连接失败
3	账户信息
11	川航怎么帮儿童办理值机
17	网上可以直接打印抬头发票么
3	人工
13	如何选座
128	我想换座位
1	您好，我需要退下机票
24	好
3	这几天有行程吗？
3	国泰港龙航空为什么不显示
23	如何取消值机
3	我手持身份证拍照，一直显示照片格式错误是什么情况
171	怎么取消预约选座
34	怎样查询自己的机票订单
59	你好！七月二号，南苑机场KN2201次航班 行李限额是多少
4	老人如何乘坐民航空机
94	延误险
3	航班动态查询什么？
28	手机选座取消不了了，影响改签
3	人工
56	为什么我为其他人购买的机票看不到航班信息？
208	我可以用这个平台给朋友预约座位吗
13	如何选座啊？
10	机会升舱
3	接机怎么操作？
17	我的乘机发票什么时候能收到？
87	值机座位与登机牌作为不一致
51	坐飞机需要提前多久？
49	我买的国际航班为什么航旅纵横无法显示
195	帮我取消认证
45	如何添加其他乘客
75	我可以预定一份儿童餐么
12	自己没有买票，能不能帮别人在手机值机
281	客票号中有字母怎么不对？
6	有电话客服么？
3	E60665707
56	旧护照的行程没有导入
74	无法认证
32	请问座位信息页在哪里
57	随身携带行李箱尺寸多少
3	航班取消值机
24	您好
2	为什么  我同时购买两个人的机票
56	不显示行程
51	可以提前一天取登机牌吗
61	怎么删除已有常用联系人
11	请问如何帮孩子一起选座？四川航空的机票，成都飞温哥华
221	预约接机会便宜一点吗
3	怎么回事呢？
28	无法取消座位
6	有客服电话吗？
3	8.33453E+12
81	请问航线图为什么显示不全
6	电话客服
132	接送机服务
3	工具箱在哪？
14	国际航班可以携带真空包装袋和真空泵吗
51	直接托运还是需要提前预约？
5	刚刚选了值机显示失败
24	你好
3	我昨晚飞机没有这次
3	兰州到乌鲁木齐要出站吗
69	查看别人的飞行记录
11	我问一下携带婴儿如何值机
58	18A座位靠窗吗
143	原始密码
19	谢谢！我试试
86	物品遗失
29	我买的中转航班，为什么第一程可以预约选座，第二程就不可以了
3	如何添加关注人
193	电子值机牌可以直接登机么
160	手机办理了电子登机牌，是否可以在自助机上打印纸质登机牌
134	验证码信息
14	酵素固体状能带上飞机吗
2	限制消费人员可以购买机票吗
125	婴儿乘机
164	保存在哪里
3	直接告诉我
17	如何打电子发票
41	港澳机票查询
3	港澳通行证不能输入
68	中转旅客要领取托运的行李再托运吗
16	珠海金湾机场怎么办理临时身份证
3	行程删除
79	请问办理手机值机，还可以到机场托运行李吗？
3	为什么会这样
56	行程不显示
13	您好！我怎么能看到我的手机值机之后的情况
17	发票
56	行程丢失
11	为什么儿童不能提前预定座位
27	查找口令
23	怎么取消直机
3	什么地方签到？
14	真空抽气泵可以带上飞机吗
145	已申请加群，请通过
84	我可以为几个同行人值机
3	578568
11	我订的是东航的，显示可以添加同行人值机，可实际添加时却告知无法添加同行人，目前孩子无法手机值机😥
