label_2	label_1
105	2
303	2
153	2
73	2
324	2
7	2
39	2
180	2
167	2
252	2
278	2
109	2
27	2
176	2
71	2
240	2
321	2
284	2
219	2
200	2
82	2
144	2
296	2
214	2
85	2
355	2
93	2
210	2
293	2
203	2
64	2
11	2
150	2
354	2
107	2
188	2
297	2
37	2
177	2
75	2
356	2
318	2
341	2
43	17
157	17
154	17
3	17
337	17
94	17
350	17
264	17
132	17
162	17
310	17
35	17
158	17
14	17
325	17
161	17
187	17
48	17
323	17
61	17
9	17
294	17
251	17
142	17
114	17
25	17
256	17
277	17
339	17
77	17
10	17
316	17
332	17
241	17
98	17
220	17
326	17
95	17
275	17
44	17
360	17
353	17
2	17
272	17
215	17
331	17
24	17
307	17
45	17
287	17
312	17
55	17
193	17
368	17
191	17
81	17
182	17
111	17
112	17
236	17
16	17
143	17
46	17
347	17
148	17
268	17
56	17
330	17
146	17
357	17
351	17
54	17
361	17
32	17
87	17
228	17
222	10
232	10
169	10
130	10
60	10
47	10
226	10
26	10
291	0
179	0
50	0
247	0
329	0
163	0
249	0
266	6
138	6
243	6
30	6
345	6
343	6
115	6
367	6
1	6
250	6
51	6
8	6
20	6
370	6
334	6
13	6
365	6
271	6
201	6
213	6
147	6
59	6
346	6
224	6
42	6
91	6
145	6
285	6
295	6
261	6
245	6
239	6
260	6
65	6
62	1
36	1
362	1
106	1
164	1
103	15
320	15
88	15
134	15
270	15
254	15
67	15
205	15
22	15
280	15
97	15
195	8
225	8
76	8
110	8
221	8
6	8
12	8
185	8
204	3
40	3
282	3
125	4
242	4
123	4
17	4
229	4
135	11
263	11
319	11
99	11
28	11
92	11
33	11
78	11
359	11
129	11
333	11
281	14
363	14
248	14
131	14
74	14
366	14
313	14
352	14
128	14
140	14
68	20
197	20
211	20
194	20
19	20
41	20
69	20
171	20
155	20
235	20
168	20
159	20
127	20
133	20
335	20
289	19
302	19
156	19
53	19
149	19
253	19
118	19
286	19
233	19
258	19
255	19
126	19
70	19
227	19
86	19
262	19
202	19
49	19
223	19
206	19
315	5
72	5
5	5
314	5
328	5
183	5
273	5
166	16
83	16
84	16
117	16
300	16
306	16
120	16
116	16
342	16
108	16
218	16
181	16
173	16
199	16
336	16
259	16
208	16
299	16
104	16
348	16
230	16
338	16
136	16
4	16
174	16
29	16
322	16
349	16
298	16
212	16
267	16
66	16
305	16
283	16
304	16
231	16
124	16
119	16
269	16
89	16
217	16
57	16
63	16
237	16
317	16
38	16
58	16
309	16
244	16
152	16
288	16
160	16
137	16
31	16
0	16
170	16
301	16
207	16
292	16
122	16
172	16
184	16
79	16
238	16
178	16
165	16
234	16
290	16
372	16
358	16
52	16
175	16
257	16
18	18
274	7
340	13
186	12
276	9
209	9
265	9
369	9
113	9
344	9
15	9
102	9
80	9
308	9
327	9
246	9
196	9
190	9
34	9
364	9
90	9
189	9
100	9
141	9
23	9
21	9
371	9
151	9
101	9
96	9
139	9
121	9
192	9
279	9
216	9
198	9
311	9
