label2_id	text
更换乘机人	24
我换航班座位	238
app如何买票？	366
老人乘机需要什么条件	100
我用手机值机提示不能为非本人值机，但我是给我自己值机	94
人工服务	40
什么时候手机值机	3
旧护照没有提取的行程。护照号：G40990668，姓名：吕颖，删除原因：已过期并已更换新护照。	20
无法办理值机	94
我通过航旅纵横下单的接机服务，发票如何开？	254
如何进行里程升舱？	221
请问如何在大人那里添加小孩的选位的	14
可以替别人选座位吗	161
航旅纵横可以订票吗？	366
手动添加的行程可以值机吗	35
改手机号	285
没带身份证	164
我需要行程单	183
如何选座	35
接机怎么开发票	254
你好！我现在还能打3月份的行程单吗？	183
怎么样买机票	366
延误证明	292
选座位什么时候开放	3
哦	340
国际飞行记录	297
有客服电话马	40
她和主乘人不同行程，可以值机吗	161
添加护照	243
你好，请问我手机值机时为什么要我输入本人信息?信息输入完后又说我是非本人行程?	146
帮我取消值机	10
你好	274
身份信息已被使用	13
怎么帮同行人选座	157
我2011兑换了提取码，没记下兑换码，我现在找不到了	226
无法取消值机	44
国际航班不能提前选位吗？	148
查看一下我最近的订单	200
请人工帮我取消值机	10
行李托运另付钱吗	19
哪里办临时身份证	164
你好怎么看值机成功	162
hi	274
怎么选座	35
曹尼玛	186
在吗	274
查询我预定的机票	128
值机选座怎么选不了	94
为什么未来行程这里找不到	176
为什么我没有退票结果航旅纵横显示我已退票了	341
飞香港澳门可以选座位吗	142
FM9451昆明长水14点飞上海，机上有配餐吗？	184
为什么不能选座位呢	94
如何确定是不是联程机票	131
你们没有人工服务吗	40
网上值机选座后，如果到达机场时已经停止办理值机，可以正常领取登机牌和托运行李吗	95
座位怎么选	35
～有一张机票，张国柱的明天飞往长沙的11:40停飞了，要求取消选座	10
如何查看机票种类	248
可以用护照登机吗？	62
我是想问我明天的行程有免费托运额吗？	19
CZ3965航班是什么时候可以值机？	43
取消值机	10
无法值机	94
怎么取消不了值机	44
帮他人值机	161
没有订票为什么出现无效票？	39
怎样帮同行的人添加到航旅纵横来	45
你是智障吗	186
常用联系人在哪里	312
为什么春秋航空的没有记录	252
怎么还没有认证审核完成？	266
我买了一张新加坡去印度尼西亚的机票没显示	214
你好，	274
持有身份证的幼儿如何办理值机	106
提前多久进场？	160
大韩航空可以在线选座吗	142
手机可以开飞行模式么	317
为什么一年前的航班不显示	27
办不了值机	94
A67140什么时间开始值机	160
提前多少时间去机场	160
请问今天的值机信息为什么一直没有收到	275
如何获取报销纸质	183
怎样联系航空公司呢	204
现在是需要完成乘机后才会显示航线吗	180
过了值机时间还能办理托运吗	160
我朋友给我买的机票，但是我这里差不了	128
最晚的登机时间是什么时候	160
经济舱免费托运45公斤？	19
请问波音738飞机什么位置是安全出口	2
中国国际航空公司国际航班行李限额多少公斤啊	197
怎么使用手机提前选座	236
如何删除常用联系人	193
机票发票	183
国际航班为什么看不到价格	352
电子发票事项如何处理	183
为什么我没免费行李？	211
祥鹏公司没有免费托运行李吗？？	19
东航飞机无法添加通行人选座	94
28寸行李箱可以托运吗？	19
我想问一下，在这里选座后，去办理托运拿登机牌的时候座位和我选的是一样的吗	35
国际行程不显示	214
如何购买机票？	366
vj605免费托运行李	197
登机的流程	61
你好，护照订的行程为什么没有自动导入呢？	180
我未办理值机？为什么系统提示已值机？	337
先安检还是先托运	61
发票	183
兑换里程	208
网上值机成功还需要再办理值机吗	95
如何申请有氧仓位	90
托运行李重量限额多少	19
如何退机票	238
我国际航班没显示，没法值机	94
取消选座	10
中转机场是否需要取行李	122
无法看到常用联系人航班信息	109
为什么我的值机显示不是本人行程？	146
可以帮别人选座位吗？	161
客服电话	40
不显示乘机凭证	5
为什么不能选座呀	94
有电话吗	40
托运可以带洗漱用品么	194
人工客服	40
手机选座位	35
如何选座啊	35
婴儿怎么值机	14
怎么样购买行李托运额	211
离线看航线	200
我添加的行程为什么都没有通过	180
报销	183
在么	274
添加同行人	45
想添加孩子的信息 怎么添加啊	368
cz6184为什么不能在手机上值机？	43
6月16号东航MU5953次航班起飞了吗？	329
为什么我的身份证认证不了	346
儿童乘机证件	106
放行李箱托运可以吗	19
在航旅纵横可以买机票吗？	366
没有任何凭证怎么添加行程	180
新手机号被注册	13
笔记本电脑可以托运吗	194
为什么我这航班不能选座	94
怎么取消值机页面不显示	10
你好！七月二号，南苑机场KN2201次航班 行李限额是多少	197
怎么预定儿童套餐	305
发票无法开具	183
厦门航空公司电话	204
票退了还会显示吗	75
我没有操作过值机，系统怎么给我选定了座位？	337
哦，知道了	340
客服电话是什么	40
有没有人工客服啊	40
人工客服电话	40
为什么没有我的行程？	180
绵阳机场晚上关门吗	198
怎样用航旅纵横打印机票票据	5
提前多久到机场办手续	160
请问是每个航空公司都可以值机吗。	142
托运时间	160
行程单	183
任何渠道买票都可以选座位么	366
航旅纵横客服电话	40
飞机可以用蓝牙吗	372
网上值机后，行李箱怎么办	155
无法取消他人值机	44
你们的客服电话	40
福州航空行李托运收费标准是多少？	197
怎么取消值机？	10
有在线客服嘛？	40
托运行李注意事项	69
为什么航旅纵横中有航班信息但是航线图不显示	177
福州到香港的机票可以值机吗	142
为什么点击购票没反应？	366
如何打印以前的登机牌	202
机场电话	282
选座功能在哪里	35
您好，机票如何付款	366
我选了四个人的值机	154
可以由家人帮忙选座吗？	157
没带身份证是否可以办理登机	164
请问如何为同行旅客选座	157
托运限重多少？	19
怎么注销	250
请问怎么判断是否行李直挂	122
取消我的值机	10
怎么订票	366
是人工客服吗	40
为什么没有我出国的记录	180
怎么查询机票预订信息	366
您好	274
谢谢！	340
怎么办行程单	183
Ca1321航班无法值机	94
谢谢	340
不能值机	94
为什么改变我的值机座位	330
这个不是本人的证件	13
航班取消，如何取消原有值机？	10
你好，两个人同用一个行李箱，托运限量可以叠加吗	19
我们一共4个人，已经给三个人选了座位还有一个怎么选	154
如何取消值机	10
查找行李	68
怎么取票	223
儿童票不能值机	14
青岛航空可以手机值机吗	142
机场雷达在哪里	58
选座时候显示行程保护	251
为什么不能值机	94
怎么查询别人的信息	109
长水机场临时身份证办理	164
会话失效	186
你好别人帮我预订的票我怎么显示在航旅纵横上呢	180
我要取消选座	10
请问10岁孩子怎么进行值机？	14
 可以用身份证查订单吗？	109
请问如何选择国际航班的座位？	35
取消值机无法操作	44
航旅纵横怎么购买行李额	211
为别人买机票怎么样在航旅纵横选坐	161
福州长乐国际机场＋临时身份证办理	164
怎么选座位	35
儿童做飞机要带什么证件	106
幫我認證護照	243
你好在吗	274
飞行记录	297
怎么查看之前选的位置？	162
为什么证件格式错误	245
航班延误已发更改起飞时间，是按照原起飞时间去机场还是按照更改时间去	163
托运行李后，发票在哪里打印	183
办理不了值机	94
已预订的机票哪里可查询？	128
怎么删除旧证件	20
发票怎么取	183
延误险	269
还是不能解决问题啊	186
改签机票需要补差价嘛	238
多久前可以订机票	366
我之前另一个号绑定过身份证   然后那个号注销了  为什么现在用不了航旅纵横	243
我的航班能否免费托运行李？	19
同行人值机办理	157
忘了怎么订机票了，已查询好航班，无法点开预订，怎么回事？	366
拥挤度	249
如何提取2009年行程	27
为什么我的座位被更换掉？	330
现在能预约值机返程吗？	236
我的好几个国际行程没有显示	214
花露水可以托运吗	194
也不行	186
怎么在线选座	35
如何取消别人的值机	132
帮忙把5月份的行程单邮寄给我	183
我怎么在APP上买不了票呢	366
7月13日深圳去重庆的深航ZH9425需要申请一份素餐。谢谢	257
如何打印行程单	183
机票得发票	183
儿童值机	14
可以用护照号查询机票吗	200
怎么取消值机	10
人呢	274
如何退改签	238
同行人没有+	268
添加常用联系人	368
80岁老人可以乘机吗	100
我订的国泰航空的机票怎么没有出现在行程中？	214
身份证过期怎么办	362
怎么拿发票	183
22寸行李箱需要托运吗	41
东方航空公司服务电话	204
非本人行程 无法值机	146
春秋航空公司的航班可以办理手机值机吗？	350
为什么我的航旅纵横有别人的航班提示？	39
什么时候可以手机选座位？	3
MU7780有免费托运行李么	197
看不到选座这一项就是还没开放选座吧	3
取消我的值机，我要改签！	10
怎样办理升舱？	221
如何办理电子登机牌	70
超重提前买	211
航班拥挤度是什么意思	249
为什么我预定不了位置	148
400毫升的乳液可以托运吗	194
你们有没有客服电话	40
每个人可以免费托运多少东西	19
已经买票了	366
东航支持电子值机吗	142
国际航班不会在行程中显现出来？	214
什么不能托运	69
国际航班阿胶糕可以托运吗	194
认证时名字对，身份证号对，为什么说证件格式错误？	245
什么时候停止托运	160
飞机托运哪些东西不能带	69
我要取消值机，怎么操作不了呢	44
提前选座	236
联航如何查询行程	200
好的，谢谢	340
你们的客服电话有没有？	40
我怎么取消值机	10
怎么修改卡包东方航空会员密码	145
如何邮寄行程单	183
起飞前多久停止检票	160
自己的账号可以帮别人选座吗？	161
可以提前几天值机？	160
如何办理机票快递？	223
退票	238
身份证号掉了怎么坐飞机	164
你好想注销此账号	250
托运对行李箱有啥要求	19
请问下周三，6月12日GS7898的航班，大的行李箱免费带吗？	197
我能否帮他人选座	161
资料认证姓名是对的，值机的姓名是错的，怎么办	241
护照添加不了	59
为什么选不了座	94
宁波飞澳门的航班怎么查询	200
好的。怎样才能联系到航空公司？	204
我可以帮朋友选座或值机吗	157
办理选座在哪	35
为什么办不了手机值机	94
没办法取消值机啊，好像是你们的系统出现故障了	44
你好，别人帮我定的南方航空的机票我自己为什么查询不到	180
这个APP能买机票吗？	366
为什么我之前可以预约值机（选座），现在不可以了？	148
可以自己选座位吗	35
你好，昨天已经值机，座位号为什么变更了	330
飞机突然降到浦东，我要取消约车订单	134
我预约过了，不小心取消了，现在也预约不了了	148
HU7716什么时间开始值机	160
儿童票在哪里查行程	200
pro版区别	83
出你媽	186
取消个人乘机凭证邮件	72
你好我有两个旅行箱一个背包可以免费托运吗	19
我的账户绑定错了，怎么修改	334
如何找到常用联系人	312
好的	340
同航班群	301
如何添加护照	243
怎么向航空公司申请托运宠物	194
我的和我朋友带小孩的都已经选起了，就我家小孩的选不了，是什么原因	286
要如何订机票呢？	366
为不同仓位他人选座。如何操作？	161
