label	content
其他	只有我朋友一人 我们没有同行
询问机翼、靠窗位置	安全出口
登机、过检时间	坐飞机需要提前多久？
手机值机---为自己值机索引	如何联系航班值机
其他	改签的费用有发票吗？
抱怨	你们的app真的好多问题
行李托运限额	托运行李的重量？
登机、过检时间	手机办理值机提前多长时间
行李限额	随机行李箱尺寸
手机值机---为自己值机索引	我想问下更新过的的航旅纵横如何选座
其他	有身份证的话还需要带其他证件吗？
提交技术尽快排除、关于系统bug问题	连接超时
如何预约选座	预定座位
通用---咨询客服电话	你电话是多少。
值机-值机选座失败	不能值机，怎么回事
手机值机---为自己值机索引	你好！我就是本人为什么值机不下去
航司电话	首都航空电话多少
乘机证件相关_成年人	能用护照买机票吗
行程-索要发票、行程单等	怎么打印有单位抬头发票
无法认证	我的认证显示失败
其他	常用联系删除
如何查看行程	咋样可以查询到自己买的机票
机票---票价、余票提醒	如何查询联航的机票座位等级
如何添加常用联系人	常用联系人的添加
行程-索要发票、行程单等	你好，可以开发票吗？
值机记录-变更或取消他人的座位	取消同行人选座
儿童独自乘机	15周岁学生独自乘机手续如何办理
机票---预订机票	港澳通行证能否订票
行李携带须知	携带物品要求在哪里查看？
如何为他人值机	我要如何帮别人值机选座
通用---咨询客服电话	有电话客服么？
其他	为啥差不到航班动态
乘机证件相关_未成年人	出生证明证件号
其他	登机序号1是什么意思
带物品登机	飞机上可以带新鲜的腊肉么。
行李携带须知	禁止携带的物品
其他	哦，那你们不能计算吗？
手机值机---为自己值机索引	任何选择座位号
航班保护中	航班保护中什么意思
机票---预订机票	小孩买票的规定
未显示国际行程	为什么不显示国际航班
值机-如何为同行人办理值机	我可以在此软件上给其它同行人员选座吗？
电子登机牌与纸质登机牌	手机上弄过电子登机牌还能领纸质登机牌吗
携带物品要求	情趣用品可以托运吗
pro版和普通版的区别	航旅纵横和航旅纵横Pro有何区别？
值机-值机选座失败	为什么值机选不了座
手机值机---为自己值机索引	出票了在哪选座位
其他	登机口变更信息推送迟缓
如何获取电子登机牌	电子登机牌没有扫描可以用嘛
值机-如何为同行人办理值机	如何确保一家三口人坐在一起？
其他	这个怎么解决？
其他	费用多少
机票---预订机票	我可以直接到机场买机票吗
机票---预订机票	如何查询本人能不能买飞机票
取消值机-非本人操作被变更座位	为什么机场控制人员要随意改我的值机座位
其他	我的姓、名颠倒了，怎么办？
其他	喝酒
抱怨	智障
如何查看行程	护照查询机票
乘机证件相关_未成年人	儿童证件
【隐私规则】行程提取时间	为什么我之前的行程有一部分没显示
其他	为何现在不能收藏航班信息了
取消值机-如何取消值机	怎样取消值机？
如何取消预约选座	取消预约选座
值机-同行人添加数量限制	为什么只能预约两个同行人的位置
如何统计里程	如何查询两地间的飞行里程
值机-值机选座失败	为什么海航的同行家人不能选座
其他	点取消取消不了
其他	我已下载《航旅纵横》APP
【提取】行程缺失-如何手添	怎么我有一个7月6号的行程没显示呢
遗失物品	身份证遗失
什么是open状态	open票
其他	由于航空公司说是在航旅纵横购的票，所以要在您公司申请
【隐私规则】查看某航班是否购买成功	怎么查别人是否帮我预定机票
带物品登机	充电宝，国际航班允许多大容量？
其他	帮我查下今天的航班我有没有买航空意外险
如何查看行程	怎么看过去的航班
行程-索要发票、行程单等	怎样补打行程单
添加新证件格式错误	为什么无法录入家人证件一直显示证件格式不对
其他	有了电子登机牌怎么进站
带物品登机	可以带吉他上飞机么
老人乘机	70岁以上老人乘飞机有什么要求？
值机详情-座位被预留	已经预留了的座位，就不用值机了吗？
