label	content
如何修改同行人信息	更换乘机人
退票、改签	我换航班座位
机票---预订机票	app如何买票？
其他	小动物的包装
老人乘机	老人乘机需要什么条件
值机-值机选座失败	我用手机值机提示不能为非本人值机，但我是给我自己值机
通用---咨询客服电话	人工服务
值机详情-未开放选座、什么时间开放选座	什么时候手机值机
证件-删除已添加证件	旧护照没有提取的行程。护照号：G40990668，姓名：吕颖，删除原因：已过期并已更换新护照。
值机-值机选座失败	无法办理值机
其他	网站登录不了？
接送机---如何申请接送机发票	我通过航旅纵横下单的接机服务，发票如何开？
其他	不显示
通用---咨询客服电话	人工服务
如何办理升舱	如何进行里程升舱？
其他	南京机场到宿迁
他人值机-部分航司儿童不支持办理	请问如何在大人那里添加小孩的选位的
其他	收到航班延误通知，但你们没有通知。
如何为他人值机	可以替别人选座位吗
其他	可以两人的行李放一个行李箱吗
机票---预订机票	航旅纵横可以订票吗？
其他	怎么给子女值机
手机值机---为自己值机索引	手动添加的行程可以值机吗
通用---咨询客服电话	人工服务
带物品登机	能带iPad 看嘛
其他	航班取消了？
账户信息-如何修改手机号	改手机号
临时乘机证明办理	没带身份证
其他	p舱是什么性质
其他	选座消息提醒
其他	如何设置登录密码
行程-索要发票、行程单等	我需要行程单
手机值机---为自己值机索引	如何选座
其他	不支持春秋航空吗
接送机---如何申请接送机发票	接机怎么开发票
其他	您好请问我代人选座不同意怎办？
其他	客户电话多少
其他	行李托运
行程-索要发票、行程单等	你好！我现在还能打3月份的行程单吗？
机票---预订机票	怎么样买机票
其他	不回复呀也
其他	香港国泰航空机票能显示了
获取延误证明	延误证明
值机详情-未开放选座、什么时间开放选座	选座位什么时候开放
结束语	哦
查询飞行记录	国际飞行记录
通用---咨询客服电话	有客服电话马
如何为他人值机	她和主乘人不同行程，可以值机吗
其他	宽体机
带物品登机	带小猫坐飞机需要准备什么
认证-如何认证	添加护照
其他	移动电源
非本人行程无法值机	你好，请问我手机值机时为什么要我输入本人信息?信息输入完后又说我是非本人行程?
取消值机-如何取消值机	帮我取消值机
打招呼	你好
打招呼	你好
其他	人工
姓名-认证非本人	身份信息已被使用
其他	证件信息错误如何处理
值机-如何为同行人办理值机	怎么帮同行人选座
兑换中心---查找兑换口令	我2011兑换了提取码，没记下兑换码，我现在找不到了
无法取消值机	无法取消值机
其他	商务舱
其他	没有啊
预约选座失败	国际航班不能提前选位吗？
通用---咨询客服电话	人工服务
如何查看行程	查看一下我最近的订单
取消值机-如何取消值机	请人工帮我取消值机
带物品登机	充电宝可以带多大
行李托运限额	行李托运另付钱吗
临时乘机证明办理	哪里办临时身份证
其他	我的问题能给我解决了吗
其他	证件认证文体
值机记录-查看自己、他人、同行人的座位	你好怎么看值机成功
打招呼	hi
其他	我的出票信息与航旅纵横上提供的信息不一样
手机值机---为自己值机索引	怎么选座
抱怨	曹尼玛
打招呼	在吗
其他	儿童呢
其他	哪里加入
如何查询机票订单	查询我预定的机票
值机-值机选座失败	值机选座怎么选不了
不显示未来行程	为什么未来行程这里找不到
非本人操作被退改签	为什么我没有退票结果航旅纵横显示我已退票了
航司是否支持手机值机	飞香港澳门可以选座位吗
其他	？！？！
订餐	FM9451昆明长水14点飞上海，机上有配餐吗？
值机-值机选座失败	为什么不能选座位呢
机票是否联程	如何确定是不是联程机票
其他	亲，预约值机后是否成功也是飞行前48小时可以确认是嘛，那没有成功就立刻可以重新值机吧？
通用---咨询客服电话	你们没有人工服务吗
带物品登机	飞机上可以带成条的烟吗？
其他	那我问问
其他	升舱服务
手机值机是否还需取票	网上值机选座后，如果到达机场时已经停止办理值机，可以正常领取登机牌和托运行李吗
手机值机---为自己值机索引	座位怎么选
取消值机-如何取消值机	～有一张机票，张国柱的明天飞往长沙的11:40停飞了，要求取消选座
机票---票价、余票提醒	如何查看机票种类
乘机证件相关_成年人	可以用护照登机吗？
行李托运限额	我是想问我明天的行程有免费托运额吗？
关于南航选座	CZ3965航班是什么时候可以值机？
其他	首都机场有哪些餐厅
带物品登机	iqos可以带上飞机吗
取消值机-如何取消值机	取消值机
其他	为什么飞机都到了升舱结果还没有
其他	JD5860
其他	情况
值机-值机选座失败	无法值机
无法取消值机	怎么取消不了值机
如何为他人值机	帮他人值机
【提取】出现了非本人购票的航班	没有订票为什么出现无效票？
其他	人工
带物品登机	洗面奶可以带吗
如何添加同行人	怎样帮同行的人添加到航旅纵横来
其他	中英文姓名
抱怨	你是智障吗
常用联系人的页面在哪里	常用联系人在哪里
【提取】手添新版-廉航如何添加	为什么春秋航空的没有记录
其他	【海尔】【孙鹏翼】2019-06-20 10:05飞11:35降SC4662上海虹桥T2-青岛，票号324-4539175765已出票。
带物品登机	请问银行POS机可以随身携带上飞机吗？
其他	蓝牙耳机
认证-催促审核进度	怎么还没有认证审核完成？
取消值机-如何取消值机	取消值机
未显示国际行程	我买了一张新加坡去印度尼西亚的机票没显示
其他	白云机场1号航站楼是T1吗
打招呼	你好，
打招呼	你好
乘机证件相关_未成年人	持有身份证的幼儿如何办理值机
登机、过检时间	提前多久进场？
其他	值机停办
航司是否支持手机值机	大韩航空可以在线选座吗
是否可以开飞行模式	手机可以开飞行模式么
【隐私规则】行程提取时间	为什么一年前的航班不显示
其他	没有找到。
其他	只能选一个
值机-值机选座失败	办不了值机
其他	我没有QQ号
登机、过检时间	A67140什么时间开始值机
登机、过检时间	提前多少时间去机场
无值机信息	请问今天的值机信息为什么一直没有收到
其他	客票号9992433316960
行程-索要发票、行程单等	如何获取报销纸质
其他	17A在哪个位置
航司电话	怎样联系航空公司呢
【提取】行程缺失-如何手添	现在是需要完成乘机后才会显示航线吗
登机、过检时间	过了值机时间还能办理托运吗
带物品登机	可以带多少毫升的液体去香港
手机值机---为自己值机索引	如何选座
其他	我再看看你提供的这个号码
打招呼	你好
如何查询机票订单	我朋友给我买的机票，但是我这里差不了
其他	eID
打招呼	你好
行李限额	20寸的行李箱有多大
其他	帮我查下当时办了个什么贵宾卡类的
其他	能删除再重新注册吗
登机、过检时间	最晚的登机时间是什么时候
其他	电子回程单如何获取
行李托运限额	经济舱免费托运45公斤？
其他	机票
询问机翼、靠窗位置	请问波音738飞机什么位置是安全出口
查询航班行李限额	中国国际航空公司国际航班行李限额多少公斤啊
如何预约选座	怎么使用手机提前选座
其他	3
其他	充电宝20800
带物品登机	20000毫安充电宝可以带么
值机详情-如何删除常用联系人	如何删除常用联系人
行程-索要发票、行程单等	机票发票
只能查国内机票吗	国际航班为什么看不到价格
行程-索要发票、行程单等	电子发票事项如何处理
其他	婴儿
行李超重	为什么我没免费行李？
其他	电子邮箱
行李托运限额	祥鹏公司没有免费托运行李吗？？
带物品登机	移动电源可以上飞机吗？
其他	工具箱
带物品登机	飞机可以带发蜡，弹力素么
值机-值机选座失败	东航飞机无法添加通行人选座
行李托运限额	28寸行李箱可以托运吗？
其他	药品
手机值机---为自己值机索引	我想问一下，在这里选座后，去办理托运拿登机牌的时候座位和我选的是一样的吗
未显示国际行程	国际行程不显示
其他	澳门航空
机票---预订机票	如何购买机票？
打招呼	你好
查询航班行李限额	vj605免费托运行李
带物品登机	化妆品可以带上飞机吗
登机流程	登机的流程
其他	电话
【提取】行程缺失-如何手添	你好，护照订的行程为什么没有自动导入呢？
