label	text_a
56	为什么我在其他国家的飞行记录没有显示
118	查询有没有订好机票
84	航旅纵横上只能选3个人的座位嘛
3	选座有费用吗
6	客服电话多少？
3	儿童可以注册吗
156	订接机服务，订单有误，用户取消订单为什么不退费？
55	请问，国航美国客服电话？
5	为什我的手机无法值机
6	人工客服
3	换绑邮箱
134	收不到验证码
37	我订的是新加坡航空公司的航班 可以在这个APP上办理值机吗？
57	行李限额是多少？
3	我是国航
24	你好
40	网上值机完可以直接登机吗
3	怎么回事啊
23	我现在因故误机了，如何取消原航班值机?
92	我添加别人，为何显示格式错误
36	为什么你们显示我退票了
3	水果
71	路由器可以托运吗
28	取消值机不成功
125	儿童乘机
139	买的是gy 1760的，不打折全额机票洛阳到，贵阳，但在电子选择座位的时候，很多都不让选，这是为什么？如果是这样，我还不如买三折四折五折的机票
3	工具箱在哪里？
171	怎么取消预约选座
51	起飞前多久停止检票
160	值机后怎样获得纸质登机牌
3	企业合作
3	客票预定是什么意思
98	怎么添加不了同行人
6	客服电话
3	信息验证失败
5	我是值机不成
55	航空公司电话号码
96	为什么值机后改不了位置
17	请问邮寄飞机票和行程单需要邮费吗？
3	经济舱N是什么
24	你好
56	国际航班能添加行程吗
3	航班动态查询什么？
14	能带防晒霜吗？
3	化妆品可上机吗？
3	哈尔滨机场有吃饭的地方嘛
19	知道了，谢谢。
3	wallet
3	😡
109	您好，身份证变更不了，怎么办？
95	新版本为什么没有显示拥挤率灯信息
5	我定的8h4980机票，为什么不能手机值机，不能出电子登机牌
166	请修改认证的姓名
3	52之后的为什么不可以选呢
23	取消值机
160	用航旅纵横APP给自己和家人选座值机，生成了一个二维码（登机牌），我们还需要换纸质登机牌吗？这样一个二维码，可以让我们同时过安检和登机嘛？我们不需要办理托运。
5	为什么选不了座
3	你好，我今天收到两个出票通知，都不对，请帮助查询
3	人工
49	国外航班不会显示吗
55	怎么投诉航空公司
47	请问国外廉航的航班号无法添加怎么办？
254	你好，5.19我在你们这里办理了川航的机会升舱，发票你们怎么给我？
17	怎么拿发票
24	你好
132	我在app上存了500元机场接送服务的预付费，请问是神州专车吗？
3	停止值机
3	怎么充值呢？
166	认证的名字错误，需要取消重新认证怎么办
79	网上值机可以行李托运吗
13	如何在线选座位
49	为何我购买的韩亚的航班。。航旅纵横上没有显示
23	取消天津至乌兰浩特我的值机
3	hu7815座位分布图
71	哪些动物可以托运
130	吸烟区
5	为什么客票不能值机
24	*吗
21	证件添加完了
17	你们能寄给我行程单吗？
139	灰色的是选过吗
17	怎么报销？
3	济州岛
43	航旅纵横支持国航，南航，东航手机值机吗
3	我付费了，你们却没有提供任何服务。我找哪里投诉啊，要求退费给我
3	值机记录
5	还有一个朋友选不了座怎么办？
3	工具箱在哪
3	电子登机牌
28	值机取消不了这么办
127	军用迷彩背囊能随身携带上飞机吗？
3	您说的我不会操作
160	有电子登记牌了 然后想打印纸质的登机牌可以吗
3	能不能帮忙看看机票上的名字跟身份证上面是否一致
14	化妆品可以带吗
23	我想取消值机
28	无法取消座位
3	怎么取消Wallet添加
74	为什么微信认证不了
50	持有身份证的幼儿如何办理值机
3	？
3	手机选座位
11	请问小孩怎么认证身份?我想选机票座位
3	在这儿提供吗
7	什么时候开放选座
171	我要取消预约座位
30	怎么看过去的航班
71	中医药液可以托运吗
3	机票搜索原来可以看到舱位，怎么现在看不到了
3	电子客票
26	我想为我同一航班的朋友一起选座，怎么操作
139	座位不可选是什么原因
2	订票
200	新加坡过境签
13	选坐位不知道在哪里操作
23	取消值机
96	如何取消朋友的值机？
50	婴儿登机证件
13	我要选座
3	护照可以代替身份证吗
57	随身携带行李有重量限制吗
70	设置自动发送乘机证明
3	我己反复操作了十几次了，无法加载，
44	您好 我没定过机票为什么还会提醒我办理值机呢
5	航班不支持手机值机
3	为什么会有这个行程？
199	持有电子登机牌办理行李托运是否还需要补打纸质登机牌
195	我要取消证件认证
3	航班无法关注
23	我想要取消值机
31	免费拖运行李的重量是多少？
32	选座成功提醒不
3	怎么回事呢？
14	坐飞机可以带防晒霜吗？
44	我这里显示非本人行程
69	我如何查看 我儿子的航班信息
128	因为修改座位问题投诉
3	电话
3	如何点票
134	输入验证码说是错误，然后重新获得验证码又说号码已经使用？是为什么呢？
5	我已经加为同行人了，提示我却要现场值机
71	托运牛奶多少液体
2	港澳通行证能否订票
45	值机添加其他乘客
3	人工
3	为什么只有这2个座可以选
3	电子回程单
17	电子发票在哪里？
14	蓝牙耳机可以带飞机上不
156	预约接机，司机没有来，退钱给我
12	怎么进行为他人选座？
3	我知道服务电话，就是打不通，怎么办？
5	Ca1321航班无法值机
3	手机不支持
12	我能用航旅纵横给别人选座吗
57	两个人的行李额度可以放在一起用吗
3	号
180	航线图如何查看
204	打印登机牌有限制时间吗？
11	为什么厦门航空儿童不可以值机选位？
3	账户信息
85	注销需要多长时间
25	为什么我的证件已经被其他人注册了呢？
13	我要选座
3	动车和飞机行程同时显示
17	是否补打行程单
167	为什么上传的行程没有审核成功
3	如何办理
3	我怎么看到我的同伴的信息呢
3	人工
14	可以带电动牙刷吗
60	回乡证如何提前预约值机
31	托运限重多少？
30	怎么查看我的历史行程
3	必须托运的行李有哪些
68	福州到宜昌，宜昌中转到曹家堡要提取托运行李吗
5	值机没有蓝色座位给我选
69	怎么帮别人用护照号查机票？
14	能带50ml 止汗走珠液上飞机吗？
3	我的行李寄存优惠码不能扫为什么
3	17702937676
60	如何提前预约座位？
3	我朋友的电子行程单为什么会发送至我的电子邮箱里？
73	7.1号到贵州铜仁凤凰机场现在可以购票吗？
12	帮他人选座
127	可以随身携带武汉热干面吗
