label	text
其他	小动物的包装
其他	网站登录不了？
其他	不显示
其他	南京机场到宿迁
其他	收到航班延误通知，但你们没有通知。
其他	可以两人的行李放一个行李箱吗
其他	怎么给子女值机
带物品登机	能带iPad 看嘛
其他	航班取消了？
其他	p舱是什么性质
其他	选座消息提醒
其他	如何设置登录密码
其他	不支持春秋航空吗
其他	您好请问我代人选座不同意怎办？
其他	客户电话多少
其他	行李托运
其他	不回复呀也
其他	香港国泰航空机票能显示了
其他	宽体机
带物品登机	带小猫坐飞机需要准备什么
其他	移动电源
其他	人工
其他	证件信息错误如何处理
其他	商务舱
其他	没有啊
带物品登机	充电宝可以带多大
其他	我的问题能给我解决了吗
其他	证件认证文体
其他	我的出票信息与航旅纵横上提供的信息不一样
其他	儿童呢
其他	哪里加入
其他	？！？！
其他	亲，预约值机后是否成功也是飞行前48小时可以确认是嘛，那没有成功就立刻可以重新值机吧？
带物品登机	飞机上可以带成条的烟吗？
其他	那我问问
其他	升舱服务
其他	首都机场有哪些餐厅
带物品登机	iqos可以带上飞机吗
其他	为什么飞机都到了升舱结果还没有
其他	JD5860
其他	情况
其他	人工
带物品登机	洗面奶可以带吗
其他	中英文姓名
其他	【海尔】【孙鹏翼】2019-06-20 10:05飞11:35降SC4662上海虹桥T2-青岛，票号324-4539175765已出票。
带物品登机	请问银行POS机可以随身携带上飞机吗？
其他	蓝牙耳机
其他	白云机场1号航站楼是T1吗
其他	值机停办
其他	没有找到。
其他	只能选一个
其他	我没有QQ号
其他	客票号9992433316960
其他	17A在哪个位置
带物品登机	可以带多少毫升的液体去香港
其他	我再看看你提供的这个号码
其他	eID
行李限额	20寸的行李箱有多大
其他	帮我查下当时办了个什么贵宾卡类的
其他	能删除再重新注册吗
其他	电子回程单如何获取
其他	机票
其他	3
其他	充电宝20800
带物品登机	20000毫安充电宝可以带么
其他	婴儿
其他	电子邮箱
带物品登机	移动电源可以上飞机吗？
其他	工具箱
带物品登机	飞机可以带发蜡，弹力素么
其他	药品
其他	澳门航空
带物品登机	化妆品可以带上飞机吗
其他	电话
其他	身份证是正确的
其他	头等舱行李托运
其他	人工
其他	升舱
其他	我已经选择座位了
其他	取消不了啊？怎么办
其他	客票查询
其他	机票有成人和婴儿，直接预留成人可以么
其他	我一共买了6个人的机票
其他	JU7438
带物品登机	飞机上能不能带水果？
其他	Unerring
行李限额	行李额
其他	小姐姐
其他	2005一一2014年国内的没有？
其他	显示未选座
带物品登机	化妆品可以携带多少毫升
其他	eID
其他	麻烦通过一下
其他	电话
其他	托运需要签字马
行李限额	联航随身携带背包收费吗？
其他	儿童不能注册码
其他	如何开通电子身份证件照
带物品登机	请问航拍无人机能带上飞机吗
其他	邮件地址
其他	在航旅纵横的哪个页面有工具箱
带物品登机	可以带蓝牙音箱吗
其他	升舱
其他	自己不能添加，必须由你们来修改
其他	延续
其他	请问我帮别人值机，如果把他的身份证号输入错误了，还能正常办理值机吗？
其他	人工
其他	Pro版
其他	账号找回
其他	我怎么样才能连我女儿的信息
其他	你好，飞机前三排是头等舱吗？只有第四排以后可以选择经济舱座位吗？
行李限额	可以带多少行李上飞机
遗失物品	你好，我的行李丢在了三亚凤凰机场行李打包处，我想找回来。
