label	text
0	如何修改同行人信息
1	退票、改签
2	机票---预订机票
3	其他
4	老人乘机
5	值机-值机选座失败
6	通用---咨询客服电话
7	值机详情-未开放选座、什么时间开放选座
8	证件-删除已添加证件
9	接送机---如何申请接送机发票
10	如何办理升舱
11	他人值机-部分航司儿童不支持办理
12	如何为他人值机
13	手机值机---为自己值机索引
14	带物品登机
15	账户信息-如何修改手机号
16	临时乘机证明办理
17	行程-索要发票、行程单等
18	获取延误证明
19	结束语
20	查询飞行记录
21	认证-如何认证
22	非本人行程无法值机
23	取消值机-如何取消值机
24	打招呼
25	姓名-认证非本人
26	值机-如何为同行人办理值机
27	兑换中心---查找兑换口令
28	无法取消值机
29	预约选座失败
30	如何查看行程
31	行李托运限额
32	值机记录-查看自己、他人、同行人的座位
33	抱怨
34	如何查询机票订单
35	不显示未来行程
36	非本人操作被退改签
37	航司是否支持手机值机
38	订餐
39	机票是否联程
40	手机值机是否还需取票
41	机票---票价、余票提醒
42	乘机证件相关_成年人
43	关于南航选座
44	【提取】出现了非本人购票的航班
45	如何添加同行人
46	常用联系人的页面在哪里
47	【提取】手添新版-廉航如何添加
48	认证-催促审核进度
49	未显示国际行程
50	乘机证件相关_未成年人
51	登机、过检时间
52	是否可以开飞行模式
53	【隐私规则】行程提取时间
54	无值机信息
55	航司电话
56	【提取】行程缺失-如何手添
57	行李限额
58	询问机翼、靠窗位置
59	查询航班行李限额
60	如何预约选座
61	值机详情-如何删除常用联系人
62	只能查国内机票吗
63	行李超重
64	登机流程
65	值机详情-座位被预留
66	如何兑换积分
67	有氧舱问题
68	行李中转
69	【隐私规则】查询他人行程
70	【其他】怎么获得乘机证明
71	行李托运物品要求
72	如何添加常用联系人
73	航班动态咨询---其他
74	无法认证
75	婴儿餐
76	改签后未更新
77	机场过夜问题
78	飞机上是否能连接蓝牙
79	手机值机托运问题
80	行李携带须知
81	航线图未显示行程
82	如何补打登机牌
83	机场电话
84	值机-同行人添加数量限制
85	认证-注销账号
86	遗失物品
87	取消值机-非本人操作被变更座位
88	查询行李状态
89	歧义-如何获取登机牌
90	机场--如何查看机场雷达、交通、大屏、地图
91	航班保护中
92	添加新证件格式错误
93	航班动态-咨询是否可晚到机场
94	延误险
95	航班详情-拥挤度的意思
96	值机记录-变更或取消他人的座位
97	清真餐素餐
98	无法添加同行人
99	乘机证件相关_身份证过期
100	行李携带限额
101	值机-部分国际航班或廉价或入疆入藏的航空不支持
102	如何获取电子登机牌
103	账户信息-如何修改密码
104	值机名字不正确
105	无法添加护照
106	接送机服务取消流程
107	pro版和普通版的区别
108	【其他】怎么取消自动发送乘机证明
109	证件---修改证件
110	航班群
111	儿童如何用电子登机牌
112	预约选座-提示不能重复预约
113	航司投诉
114	预约值机-关于预约选座是否靠谱的疑问
115	取消值机后是否可以重新值机
116	机场是否支持电子登机牌
117	失物招领
118	【隐私规则】查看某航班是否购买成功
119	如何添加好友
120	行程没有短信提醒
121	证件-无法添加新证件
122	如何获取电子客票号
123	pro版下载
124	他人值机-2天内无可办理的行程
125	婴儿乘机
126	行程无法添加
127	携带物品要求
