label	text_a
10	你好 我要删除认证证件信息
18	手机值机提前多久
0	可以帮忙查下航班信息那
14	查电子客票信息
17	哈尔滨机场哪里可以寄存东西
10	怎么删除认证
10	为何添加家人信息保存时显示证件号格式错误
18	到时间选座了，但显示航班保护中是什么意思？
11	常客卡在哪里
12	机票验真
18	航班仓位等级不同不能值机
8	电话打不通
18	国内航班怎么选座位
1	旅豆能换什么
14	请问怎么改签
13	可以带雨伞托运吗？
10	新护照跟旧护照的号不一样了怎么改
18	国内航空如何选座
18	座位是在你们app上定的，航空公司需要联系你们，更改的
18	能为别人办理值机吗？
12	这个app可以购买机票吗
14	航旅纵横PRo版怎么下载
7	行程单怎么在这个软件上打印
18	为啥有的座位锁着
16	儿童乘坐飞机需要什么证件
13	托运不能超过多少
4	电子登机牌怎么登机
18	我选完的座位被占用了
15	拥挤率是什么
10	添加新证件号码，出现问题
18	15位的客票号怎么填写
14	飞机晚点了
16	没有身份证
0	你好，我昨天去柬埔寨的航班为什么没有显示
14	里程补登
18	值机了怎么取消
10	如何更换认证
0	可以帮别人查看飞机票吗
8	请问电话客服是多少号吗
4	手机办理了电子登机牌，是否可以在自助机上打印纸质登机牌
12	小孩买票的规定
18	我能取消选座吗
18	怎么选取座位
12	儿童无成人陪同服务怎么办理或买票
2	我想升舱
18	如果取消值机 会不会影响上飞机
13	托运不能超过多少毫升
12	我要订票
14	雷暴天气
14	升级最新版本
17	请问婴儿几个月可以乘飞机
12	买机票名字错了身份证是对的
7	如何邮寄行程单
12	麻烦问下怎么定机票
14	航班起飞前多久可以办理值机
0	为什么我看不到国外的航班信息呢
18	请问一下，我的航班怎么选不了座位好
13	廉价飞机有免费行李托运吗？
13	沈阳到泰州 行李托运怎么收费
14	2019年已飞公里数
18	座号从哪里选？
8	有人工服务吗？
18	我之前在航旅纵横选的座位，现在想取消座位无法操作怎么办？
18	我给家人定的机票，想提前选座位，怎么操作？
14	open票如何使用
17	停车收费哪里办理
18	我订的是新加坡航空公司的航班 可以在这个APP上办理值机吗？
18	怎么选择座位
13	无免费托运额的机票，托运要多少钱一公斤
0	我买的国际航班为什么航旅纵横无法显示
18	值机无法取消，错误51841
18	什么时候可以选座
11	常客卡有什么用
14	延误补偿
0	查看小朋友的机票信息
18	我是在航旅纵横值机的，为何在取消值机时说我是在其他渠道值机的？
18	37  到45是机翼？
0	怎么查预定的机票
18	这种情况怎么取消值机
8	客服电话多少？
10	如何删除已认证证件
4	请问值机后还需要到机场打印登机牌吗？
18	怎么选座啊？
13	行李托运有件数要求吗
7	在哪里打印发票
18	选不了座怎么办
10	修改手机号码
18	6月19日川航什么时间可以订座
10	更换身份认证
